Name,Link,Birth Date,Height (meter),Weight (Kg),Nationalities,Total points,Per Game Point,Total Rebounds,Per Game Rebounds,Total Assists,Per Game Assists
Anthony Bonner,https://en.wikipedia.org/wiki/Anthony_Bonner,1968-06-08,2.03,98.0,American,2199.0,6.9,1726.0,5.4,442.0,1.4
Matt Bonner,https://en.wikipedia.org/wiki/Matt_Bonner,1980-04-05,2.08,107.0,American,4632.0,5.8,1749.0,3.0,552.0,0.7
Al Bonniwell,https://en.wikipedia.org/wiki/Al_Bonniwell,1911-10-06,1.85,79.0,American,,,,,,
Butch Booker,https://en.wikipedia.org/wiki/Butch_Booker,1945-07-20,2.08,104.0,American,,,,,,
Devin Booker,https://en.wikipedia.org/wiki/Devin_Booker,1996-10-30,1.98,93.0,American,,,,,,
Melvin Booker,https://en.wikipedia.org/wiki/Melvin_Booker,1972-08-20,1.85,84.0,American,,,,,,
Trevor Booker,https://en.wikipedia.org/wiki/Trevor_Booker,1987-11-25,2.03,103.0,American,,,,,,
Josh Boone,https://en.wikipedia.org/wiki/Josh_Boone_(basketball),1984-11-21,2.08,108.0,American,,,,,,
Ron Boone,https://en.wikipedia.org/wiki/Ron_Boone,1946-09-06,1.88,91.0,American,17437.0,16.8,4348.0,4.2,,
Calvin Booth,https://en.wikipedia.org/wiki/Calvin_Booth,1976-05-07,2.11,113.0,American,,,,,,
Keith Booth,https://en.wikipedia.org/wiki/Keith_Booth,1974-10-09,1.98,103.0,American,,,,,,
Bob Boozer,https://en.wikipedia.org/wiki/Bob_Boozer,1937-04-26,2.03,98.0,American,12964.0,14.8,7119.0,8.1,1237.0,1.4
Carlos Boozer,https://en.wikipedia.org/wiki/Carlos_Boozer,1981-11-20,2.06,117.0,American,,,,,,
Curtis Borchardt,https://en.wikipedia.org/wiki/Curtis_Borchardt,1980-09-13,2.13,109.0,American,,,,,,
Jake Bornheimer,https://en.wikipedia.org/wiki/Jake_Bornheimer,1927-06-09,1.96,91.0,American,,,,,,
Lazaro Borrell,https://en.wikipedia.org/wiki/Lazaro_Borrell,1972-09-20,2.03,100.0,Cuban,,,,,,
Wally Borrevik,https://en.wikipedia.org/wiki/Wally_Borrevik,1921-11-14,2.03,93.0,American,,,,,,
Ike Borsavage,https://en.wikipedia.org/wiki/Ike_Borsavage,1924-07-25,2.03,100.0,American,64.0,2.7,24.0,1.7,4.0,0.2
Vince Boryla,https://en.wikipedia.org/wiki/Vince_Boryla,1927-03-11,1.96,95.0,American,,,,,,
Chris Bosh,https://en.wikipedia.org/wiki/Chris_Bosh,1984-03-24,2.11,107.0,American,,,,,,
Jim Bostic,https://en.wikipedia.org/wiki/Jim_Bostic,1953-01-08,2.01,102.0,American,,,,,,
Lawrence Boston,https://en.wikipedia.org/wiki/Lawrence_Boston,1956-05-18,2.03,102.0,American,,,,,,
Sonny Boswell,https://en.wikipedia.org/wiki/Sonny_Boswell,,,,,,,,,,
Tom Boswell,https://en.wikipedia.org/wiki/Tom_Boswell,1953-10-02,2.06,100.0,American,,,,,,
Lou Boudreau,https://en.wikipedia.org/wiki/Lou_Boudreau,,,,,,,,,,
Don Boven,https://en.wikipedia.org/wiki/Don_Boven,1925-03-06,,,,,,,,,
Cal Bowdler,https://en.wikipedia.org/wiki/Cal_Bowdler,1977-03-31,2.08,111.0,"Irish,American",,,,,,
Bruce Bowen,https://en.wikipedia.org/wiki/Bruce_Bowen,1971-06-14,2.01,91.0,American,5290.0,6.1,2428.0,2.8,1089.0,1.2
Ryan Bowen,https://en.wikipedia.org/wiki/Ryan_Bowen,1975-11-20,2.06,98.0,American,1319.0,2.6,1060.0,2.1,250.0,0.5
Tom Bowens,https://en.wikipedia.org/wiki/Tom_Bowens,1940-07-07,2.03,100.0,American,,,,,,
Harold Bower,https://en.wikipedia.org/wiki/Harold_Bower,,,,,,,,,,
Anthony Bowie,https://en.wikipedia.org/wiki/Anthony_Bowie,1963-11-09,1.98,86.0,American,2945.0,6.4,1021.0,2.2,,
Sam Bowie,https://en.wikipedia.org/wiki/Sam_Bowie,1961-03-17,2.16,107.0,American,5564.0,10.9,3845.0,7.5,,
Orbie Bowling,https://en.wikipedia.org/wiki/Orbie_Bowling,1939-03-31,2.08,98.0,American,,,,,,
Wink Bowman,https://en.wikipedia.org/wiki/Wink_Bowman,1916-01-22,,,American,,,,,,
Ira Bowman,https://en.wikipedia.org/wiki/Ira_Bowman,1973-06-11,1.96,88.0,American,,,,,,
Nate Bowman,https://en.wikipedia.org/wiki/Nate_Bowman,1943-03-19,2.08,104.0,American,745.0,2.9,878.0,3.4,175.0,0.7
Donnie Boyce,https://en.wikipedia.org/wiki/Donnie_Boyce,1973-09-02,1.96,89.0,American,,,,,,
Dennis Boyd,https://en.wikipedia.org/wiki/Dennis_Boyd_(basketball),1954-05-21,1.85,79.0,American,,,,,,
Fred Boyd,https://en.wikipedia.org/wiki/Fred_Boyd,1950-06-13,1.88,82.0,American,2784.0,8.5,533.0,1.6,986.0,3.0
Ken Boyd,https://en.wikipedia.org/wiki/Ken_Boyd_(basketball),1952-03-25,1.96,88.0,American,,,,,,
Earl Boykins,https://en.wikipedia.org/wiki/Earl_Boykins,1976-06-02,1.65,61.0,American,,,,,,
Harry Boykoff,https://en.wikipedia.org/wiki/Harry_Boykoff,1922-07-24,2.08,102.0,American,,,,,,
Winford Boynes,https://en.wikipedia.org/wiki/Winford_Boynes,1957-05-17,1.98,84.0,American,1478.0,8.4,363.0,2.1,207.0,1.2
Cedric Bozeman,https://en.wikipedia.org/wiki/Cedric_Bozeman,1983-03-07,1.98,98.0,American,,,,,,
Steve Bracey,https://en.wikipedia.org/wiki/Steve_Bracey,1950-08-01,1.85,79.0,American,1141.0,6.1,291.0,1.6,408.0,2.2
Craig Brackins,https://en.wikipedia.org/wiki/Craig_Brackins,1987-10-09,2.08,104.0,American,,,,,,
Gary Bradds,https://en.wikipedia.org/wiki/Gary_Bradds,1942-07-26,2.03,95.0,American,3106.0,12.2,1398.0,5.5,227.0,0.9
Alex Bradley,https://en.wikipedia.org/wiki/Alex_Bradley_(basketball),1959-10-30,1.98,98.0,American,,,,,,
Alonzo Bradley,https://en.wikipedia.org/wiki/Alonzo_Bradley,1953-10-16,1.98,86.0,American,,,,,,
Avery Bradley,https://en.wikipedia.org/wiki/Avery_Bradley,1990-11-26,1.88,82.0,American,,,,,,
Bill Bradley,"https://en.wikipedia.org/wiki/Bill_Bradley_(basketball,_born_1941)",1941-06-16,1.8,75.0,American,,,,,,
Bill Bradley,https://en.wikipedia.org/wiki/Bill_Bradley,,1.96,93.0,,9217.0,12.4,2354.0,3.2,2533.0,3.4
Charles Bradley,https://en.wikipedia.org/wiki/Charles_Bradley_(basketball),1959-05-16,1.96,98.0,American,,,,,,
Dudley Bradley,https://en.wikipedia.org/wiki/Dudley_Bradley,1957-03-19,1.98,88.0,American,3131.0,5.2,1098.0,1.8,1147.0,1.9
Jim Bradley,https://en.wikipedia.org/wiki/Jim_Bradley_(basketball),"March 16, 1952",2.03,98.0,American,,,,,,
Joe Bradley,https://en.wikipedia.org/wiki/Joe_Bradley_(basketball),1928-09-24,1.91,79.0,American,,,,,,
Michael Bradley,https://en.wikipedia.org/wiki/Michael_Bradley_(basketball),1979-04-18,2.08,107.0,American,,,,,,
Shawn Bradley,https://en.wikipedia.org/wiki/Shawn_Bradley,1972-03-22,2.29,125.0,"German,American",6752.0,8.1,5268.0,6.3,,
Mark Bradtke,https://en.wikipedia.org/wiki/Mark_Bradtke,1969-09-27,2.08,120.0,Australian,,,,,,
Marques Bragg,https://en.wikipedia.org/wiki/Marques_Bragg,1970-03-24,2.03,104.0,American,,,,,,
Torraye Braggs,https://en.wikipedia.org/wiki/Torraye_Braggs,,,,,,,,,,
Adrian Branch,https://en.wikipedia.org/wiki/Adrian_Branch,1963-11-17,2.03,84.0,American,,,,,,
Elton Brand,https://en.wikipedia.org/wiki/Elton_Brand,1979-03-11,2.06,115.0,American,16827.0,15.9,9040.0,8.5,2184.0,2.1
Terrell Brandon,https://en.wikipedia.org/wiki/Terrell_Brandon,1970-05-20,1.8,82.0,American,9994.0,13.8,,,4407.0,6.1
Bob Brannum,https://en.wikipedia.org/wiki/Bob_Brannum,1925-05-28,1.96,98.0,American,,,,,,
Brad Branson,https://en.wikipedia.org/wiki/Brad_Branson,1958-09-24,2.08,100.0,"American,Spanish[a]",,,,,,
Jesse Branson,https://en.wikipedia.org/wiki/Jesse_Branson,1942-01-07,2.01,88.0,American,1091.0,13.1,541.0,6.6,67.0,0.8
Jim Brasco,https://en.wikipedia.org/wiki/Jim_Brasco,"February 3, 1931",1.85,77.0,American,,,,,,
Mike Bratz,https://en.wikipedia.org/wiki/Mike_Bratz,1955-10-17,1.88,84.0,American,4081.0,7.0,1030.0,1.8,1851.0,3.2
Carl Braun,https://en.wikipedia.org/wiki/Carl_Braun_(basketball),1927-09-25,1.96,82.0,American,,,,,,
Tim Breaux,https://en.wikipedia.org/wiki/Tim_Breaux,1970-09-19,2.01,98.0,American,,,,,,
Pete Brennan,https://en.wikipedia.org/wiki/Pete_Brennan,1936-09-23,1.98,93.0,American,,,,,,
Tom Brennan,"https://en.wikipedia.org/wiki/Tom_Brennan_(basketball,_born_1930)",1930-08-06,1.91,88.0,American,,,,,,
Irv Brenner,https://en.wikipedia.org/wiki/Irv_Brenner,1913-05-31,1.93,91.0,American,,,,,,
Randy Breuer,https://en.wikipedia.org/wiki/Randy_Breuer,1960-10-11,2.21,104.0,American,4599.0,6.8,2986.0,4.4,,
Corey Brewer,https://en.wikipedia.org/wiki/Corey_Brewer,1986-03-05,2.06,84.0,American,,,,,,
Jamison Brewer,https://en.wikipedia.org/wiki/Jamison_Brewer,1980-11-19,1.93,83.0,American,,,,,,
Jim Brewer,https://en.wikipedia.org/wiki/Jim_Brewer_(basketball),1951-12-03,2.06,95.0,American,4099.0,5.8,4458.0,6.3,1038.0,1.5
Ron Brewer,https://en.wikipedia.org/wiki/Ron_Brewer,1955-09-16,1.93,82.0,American,5971.0,11.9,971.0,1.9,920.0,1.8
Ronnie Brewer,https://en.wikipedia.org/wiki/Ronnie_Brewer,1985-03-20,2.01,107.0,American,,,,,,
Frank Brian,https://en.wikipedia.org/wiki/Frank_Brian,1923-05-01,1.85,82.0,American,,,,,,
Frank Brickowski,https://en.wikipedia.org/wiki/Frank_Brickowski,1959-08-14,2.08,109.0,American,7302.0,10.0,3410.0,4.7,1384.0,1.9
Junior Bridgeman,https://en.wikipedia.org/wiki/Junior_Bridgeman,1953-09-17,1.96,95.0,American,11517.0,13.6,2995.0,3.5,2066.0,2.4
Bill Bridges,https://en.wikipedia.org/wiki/Bill_Bridges_(basketball),1939-04-04,1.98,103.0,American,11012.0,11.9,11054.0,11.9,2553.0,2.8
Al Brightman,https://en.wikipedia.org/wiki/Al_Brightman,1923-09-22,1.88,88.0,American,,,,,,
Aud Brindley,https://en.wikipedia.org/wiki/Aud_Brindley,1923-12-31,1.93,79.0,American,,,,,,
John Brisker,https://en.wikipedia.org/wiki/John_Brisker,1947-06-15,1.96,95.0,American,1498.0,11.9,498.0,4.0,225.0,1.8
Allan Bristow,https://en.wikipedia.org/wiki/Allan_Bristow,1951-08-23,2.01,95.0,American,5450.0,7.8,2787.0,4.0,2219.0,3.2
Tyrone Britt,https://en.wikipedia.org/wiki/Tyrone_Britt,1944-04-18,1.93,86.0,American,,,,,,
Wayman Britt,https://en.wikipedia.org/wiki/Wayman_Britt,1954-08-31,1.88,84.0,American,,,,,,
Mike Brittain,https://en.wikipedia.org/wiki/Mike_Brittain,1963-06-21,2.13,107.0,American,,,,,,
David Britton,https://en.wikipedia.org/wiki/David_Britton_(basketball),1958-08-29,1.93,82.0,American,,,,,,
Jon Brockman,https://en.wikipedia.org/wiki/Jon_Brockman,1987-03-20,2.01,111.0,American,,,,,,
Jim Brogan,https://en.wikipedia.org/wiki/Jim_Brogan_(basketball),1958-02-24,2.01,84.0,American,,,,,,
Malcolm Brogdon,https://en.wikipedia.org/wiki/Malcolm_Brogdon,1992-12-11,1.96,98.0,American,,,,,,
Gary Brokaw,https://en.wikipedia.org/wiki/Gary_Brokaw,1954-01-11,1.93,81.0,American,1928.0,8.0,407.0,1.7,715.0,3.0
Price Brookfield,https://en.wikipedia.org/wiki/Price_Brookfield,1920-05-11,1.93,84.0,American,,,,,,
Clarence Brookins,https://en.wikipedia.org/wiki/Clarence_Brookins,,1.93,86.0,American,,,,,,
Aaron Brooks,https://en.wikipedia.org/wiki/Aaron_Brooks_(basketball),1985-01-14,1.83,73.0,American,,,,,,
Kevin Brooks,https://en.wikipedia.org/wiki/Kevin_Brooks_(basketball),1969-10-12,1.98,91.0,American,,,,,,
MarShon Brooks,https://en.wikipedia.org/wiki/MarShon_Brooks,1989-01-26,1.96,91.0,American,,,,,,
Michael Brooks,https://en.wikipedia.org/wiki/Michael_Brooks_(basketball),1958-08-17,2.01,100.0,American,4086.0,12.8,2001.0,6.3,818.0,2.6
Scott Brooks,https://en.wikipedia.org/wiki/Scott_Brooks,1965-07-31,1.8,75.0,American,,,,,,
Andre Brown,https://en.wikipedia.org/wiki/Andre_Brown_(basketball),1981-05-12,2.06,111.0,American,,,,,,
Anthony Brown,https://en.wikipedia.org/wiki/Anthony_Brown_(basketball),1992-10-10,2.01,96.0,American,,,,,,
Bill Brown,https://en.wikipedia.org/wiki/Bill_Brown_(basketball_player),1922-08-02,1.91,93.0,American,,,,,,
Bob Brown,https://en.wikipedia.org/wiki/Bob_Brown_(basketball),1923-11-12,1.93,93.0,American,,,,,,
Bob Brown,https://en.wikipedia.org/wiki/Bob_Brown_(NBL),,2.01,,American,,,,,,
Bobby Brown,https://en.wikipedia.org/wiki/Bobby_Brown_(basketball),1984-09-24,1.88,79.0,American,,,,,,
Chucky Brown,https://en.wikipedia.org/wiki/Chucky_Brown,1968-02-29,2.01,97.0,American,4125.0,5.9,2148.0,3.1,549.0,0.8
Damone Brown,https://en.wikipedia.org/wiki/Damone_Brown,1979-06-28,2.06,96.0,American,,,,,,
Darrel Brown,https://en.wikipedia.org/wiki/Darrel_Brown_(basketball),1923-03-14,1.88,79.0,American,,,,,,
Dee Brown,"https://en.wikipedia.org/wiki/Dee_Brown_(basketball,_born_1968)",1968-11-29,1.85,73.0,American,6758.0,11.1,1569.0,2.6,2227.0,3.7
Dee Brown,"https://en.wikipedia.org/wiki/Dee_Brown_(basketball,_born_1984)",1984-08-17,1.85,84.0,American,,,,,,
Derrick Brown,"https://en.wikipedia.org/wiki/Derrick_Brown_(basketball,_born_1987)",1987-09-08,2.03,106.0,American,,,,,,
Devin Brown,https://en.wikipedia.org/wiki/Devin_Brown,1978-12-30,1.96,95.0,American,,,,,,
Ernest Brown,https://en.wikipedia.org/wiki/Ernest_Brown_(basketball),,,,,,,,,,
Fred Brown,https://en.wikipedia.org/wiki/Fred_Brown_(basketball),1948-08-07,1.91,83.0,American,14018.0,14.6,,,3160.0,3.3
George Brown,https://en.wikipedia.org/wiki/George_Brown_(basketball),1935-10-30,1.98,86.0,American,,,,,,
Gerald Brown,https://en.wikipedia.org/wiki/Gerald_Brown_(basketball),1975-07-28,1.93,95.0,American,,,,,,
Harold Brown,https://en.wikipedia.org/wiki/Harold_Brown_(basketball),,,,,,,,,,
Hillery Brown,https://en.wikipedia.org/wiki/Hillery_Brown,1912-07-30,1.91,86.0,American,,,,,,
Jabari Brown,https://en.wikipedia.org/wiki/Jabari_Brown,1992-12-18,1.93,92.0,American,,,,,,
Jaylen Brown,https://en.wikipedia.org/wiki/Jaylen_Brown,1996-10-24,2.01,102.0,American,,,,,,
Jim Brown,https://en.wikipedia.org/wiki/Jim_Brown_(basketball),,1.91,93.0,American,,,,,,
John Brown,"https://en.wikipedia.org/wiki/John_Brown_(basketball,_born_1951)",1951-12-14,2.01,100.0,American,3614.0,7.4,2126.0,4.4,703.0,1.4
Kedrick Brown,https://en.wikipedia.org/wiki/Kedrick_Brown,1981-03-18,2.03,102.0,American,,,,,,
Kwame Brown,https://en.wikipedia.org/wiki/Kwame_Brown,1982-03-10,2.11,132.0,American,,,,,,
Larry Brown,https://en.wikipedia.org/wiki/Larry_Brown_(basketball),1940-09-14,1.75,75.0,American,4229.0,11.2,1005.0,2.7,,
Leon Brown,https://en.wikipedia.org/wiki/Leon_Brown_(basketball),1919-10-12,1.91,86.0,American,,,,,,
Lewis Brown,https://en.wikipedia.org/wiki/Lewis_Brown_(basketball),1955-02-19,2.11,102.0,American,,,,,,
Lorenzo Brown,https://en.wikipedia.org/wiki/Lorenzo_Brown,1990-08-26,1.96,86.0,American,,,,,,
Marcus Brown,https://en.wikipedia.org/wiki/Marcus_Brown,1974-04-03,1.93,90.0,American,,,,,,
Markel Brown,https://en.wikipedia.org/wiki/Markel_Brown,1992-01-29,1.91,84.0,American,,,,,,
Marshall Brown,"https://en.wikipedia.org/wiki/Marshall_Brown_(basketball,_born_1918)",1918-06-28,1.91,77.0,American,,,,,,
Mike Brown,"https://en.wikipedia.org/wiki/Mike_Brown_(basketball,_born_1963)",1963-07-19,2.06,117.0,American,3130.0,5.0,2762.0,4.4,,
Myron Brown,https://en.wikipedia.org/wiki/Myron_Brown,1969-11-03,1.91,82.0,American,,,,,,
Randy Brown,https://en.wikipedia.org/wiki/Randy_Brown,1968-05-22,1.88,86.0,American,,,,,,
Raymond Brown,https://en.wikipedia.org/wiki/Raymond_Brown_(basketball),,,,,,,,,,
Rickey Brown,https://en.wikipedia.org/wiki/Rickey_Brown,1958-08-29,2.08,98.0,American,1482.0,4.4,1200.0,3.5,,
Roger Brown,"https://en.wikipedia.org/wiki/Roger_Brown_(basketball,_born_1942)","May 22, 1942",1.96,93.0,American,10498.0,17.4,3758.0,6.2,2315.0,3.8
Roger Brown,"https://en.wikipedia.org/wiki/Roger_Brown_(basketball,_born_1950)",1950-02-23,2.11,102.0,American,,,,,,
Rookie Brown,https://en.wikipedia.org/wiki/Rookie_Brown,1925-02-15,1.93,86.0,American,,,,,,
Shannon Brown,https://en.wikipedia.org/wiki/Shannon_Brown,1985-11-29,1.93,95.0,American,,,,,,
Stan Brown,https://en.wikipedia.org/wiki/Stan_Brown_(basketball),,,,,,,,,,
Tierre Brown,https://en.wikipedia.org/wiki/Tierre_Brown,1979-06-03,1.88,86.0,American,,,,,,
Tony Brown,https://en.wikipedia.org/wiki/Tony_Brown_(basketball),1960-07-29,1.98,84.0,American,,,,,,
Jim Browne,https://en.wikipedia.org/wiki/Jim_Browne,1930-10-03,2.08,107.0,,,,,,,
Bill Brownell,https://en.wikipedia.org/wiki/Bill_Brownell,,1.98,107.0,American,,,,,,
Stanley Brundy,https://en.wikipedia.org/wiki/Stanley_Brundy,1967-11-13,1.98,95.0,American,,,,,,
Brian Brunkhorst,https://en.wikipedia.org/wiki/Brian_Brunkhorst,1945-06-12,1.98,94.0,American,,,,,,
George Bruns,https://en.wikipedia.org/wiki/George_Bruns_(basketball),,,,,,,,,,
Rick Brunson,https://en.wikipedia.org/wiki/Rick_Brunson,1972-06-14,1.93,86.0,American,1090.0,3.2,447.0,1.3,876.0,2.6
Em Bryant,https://en.wikipedia.org/wiki/Em_Bryant,1937-11-04,1.85,79.0,American,3722.0,6.6,1593.0,2.8,1700.0,3.0
Joe Bryant,https://en.wikipedia.org/wiki/Joe_Bryant,1954-10-19,2.06,84.0,American,12584.0,14.8,4012.0,4.7,1595.0,1.9
Kobe Bryant,https://en.wikipedia.org/wiki/Kobe_Bryant,1978-08-23,1.98,96.0,American,33643.0,25.0,7047.0,5.2,6306.0,4.7
Mark Bryant,https://en.wikipedia.org/wiki/Mark_Bryant_(basketball),1965-04-25,2.06,111.0,American,4313.0,5.4,2992.0,3.8,,
Wallace Bryant,https://en.wikipedia.org/wiki/Wallace_Bryant,1959-07-14,2.13,111.0,American,,,,,,
Torgeir Bryn,https://en.wikipedia.org/wiki/Torgeir_Bryn,1964-08-19,2.06,113.0,Norwegian,,,,,,
George Bucci,https://en.wikipedia.org/wiki/George_Bucci,1953-07-09,1.91,,American,,,,,,
Joe Buckhalter,https://en.wikipedia.org/wiki/Joe_Buckhalter,1937-08-01,2.01,95.0,American,375.0,5.8,265.0,4.1,43.0,0.7
Steve Bucknall,https://en.wikipedia.org/wiki/Steve_Bucknall,,,,,,,,,,
Cleveland Buckner,https://en.wikipedia.org/wiki/Cleveland_Buckner,1938-08-17,2.06,95.0,American,411.0,6.0,240.0,3.5,44.0,0.6
Greg Buckner,https://en.wikipedia.org/wiki/Greg_Buckner,1976-09-16,1.93,95.0,American,2878.0,5.0,1593.0,2.8,719.0,1.3
Quinn Buckner,https://en.wikipedia.org/wiki/Quinn_Buckner,1954-08-20,1.91,86.0,American,5929.0,8.2,,,3114.0,4.3
Dave Budd,https://en.wikipedia.org/wiki/Dave_Budd,1938-10-28,1.98,93.0,American,2505.0,7.1,1623.0,4.6,337.0,1.0
Chase Budinger,https://en.wikipedia.org/wiki/Chase_Budinger,1988-05-22,2.01,98.0,American,,,,,,
Walt Budko,https://en.wikipedia.org/wiki/Walt_Budko,1925-07-30,1.96,100.0,American,2037.0,8.1,684.0,5.4,471.0,1.9
Jud Buechler,https://en.wikipedia.org/wiki/Jud_Buechler,1968-06-19,1.98,100.0,American,2385.0,3.3,1266.0,1.8,560.0,0.8
Ken Buehler,https://en.wikipedia.org/wiki/Ken_Buehler,1919-11-19,1.88,84.0,,,,,,,
Rodney Buford,https://en.wikipedia.org/wiki/Rodney_Buford,1977-11-02,1.96,86.0,American,,,,,,
Matt Bullard,https://en.wikipedia.org/wiki/Matt_Bullard,1967-06-05,2.08,98.0,American,,,,,,
Reggie Bullock,https://en.wikipedia.org/wiki/Reggie_Bullock,1991-03-16,2.01,93.0,American,,,,,,
Larry Bunce,https://en.wikipedia.org/wiki/Larry_Bunce,,,,,,,,,,
Greg Bunch,https://en.wikipedia.org/wiki/Greg_Bunch,1956-05-15,1.98,86.0,American,,,,,,
Dick Bunt,https://en.wikipedia.org/wiki/Dick_Bunt,1930-07-13,1.83,77.0,American,,,,,,
Bill Buntin,https://en.wikipedia.org/wiki/Bill_Buntin,1942-05-05,2.01,113.0,American,324.0,7.7,252.0,6.0,36.0,0.9
Bill Bunting,https://en.wikipedia.org/wiki/Bill_Bunting,1947-08-26,2.03,91.0,American,,,,,,
Luther Burden,https://en.wikipedia.org/wiki/Luther_Burden,1953-02-28,1.88,84.0,American,1762.0,13.1,268.0,2.0,194.0,1.4
Pat Burke,https://en.wikipedia.org/wiki/Pat_Burke,1973-12-14,2.11,113.0,Irish,,,,,,
Trey Burke,https://en.wikipedia.org/wiki/Trey_Burke,1992-11-12,1.85,87.0,American,,,,,,
Roger Burkman,https://en.wikipedia.org/wiki/Roger_Burkman,1958-05-22,1.96,79.0,American,,,,,,
Alec Burks,https://en.wikipedia.org/wiki/Alec_Burks,1991-07-20,1.98,97.0,American,,,,,,
Antonio Burks,"https://en.wikipedia.org/wiki/Antonio_Burks_(basketball,_born_1980)",1980-02-25,1.85,91.0,American,,,,,,
Kevin Burleson,https://en.wikipedia.org/wiki/Kevin_Burleson,1979-04-09,1.91,93.0,American,,,,,,
Tommy Burleson,https://en.wikipedia.org/wiki/Tommy_Burleson,1952-02-24,2.18,102.0,American,4190.0,9.4,2794.0,6.3,,
Jack Burmaster,https://en.wikipedia.org/wiki/Jack_Burmaster,1926-12-23,1.91,86.0,American,598.0,9.8,,,179.0,2.9
David Burns,https://en.wikipedia.org/wiki/David_Burns_(basketball),1958-07-03,1.88,82.0,American,,,,,,
Evers Burns,https://en.wikipedia.org/wiki/Evers_Burns,1971-08-24,2.03,118.0,American,,,,,,
Jim Burns,https://en.wikipedia.org/wiki/Jim_Burns_(basketball),1945-09-21,1.91,88.0,American,,,,,,
Scott Burrell,https://en.wikipedia.org/wiki/Scott_Burrell,1971-01-12,2.01,99.0,American,2649.0,6.9,1332.0,3.5,527.0,1.4
Art Burris,https://en.wikipedia.org/wiki/Art_Burris,1924-04-07,1.96,100.0,American,187.0,2.5,205.0,2.8,54.0,0.7
Junior Burrough,https://en.wikipedia.org/wiki/Junior_Burrough,1973-01-18,2.03,110.0,American,,,,,,
Bob Burrow,https://en.wikipedia.org/wiki/Bob_Burrow,1934-07-29,2.01,103.0,American,459.0,5.7,357.0,4.4,47.0,0.6
Ed Burton,https://en.wikipedia.org/wiki/Ed_Burton,,,,,,,,,,
Willie Burton,https://en.wikipedia.org/wiki/Willie_Burton,1968-05-26,2.03,95.0,American,3243.0,10.3,932.0,2.9,393.0,1.2
Steve Burtt,https://en.wikipedia.org/wiki/Steve_Burtt_Sr.,1962-11-05,1.88,84.0,American,584.0,5.6,92.0,0.9,,
Don Buse,https://en.wikipedia.org/wiki/Don_Buse,1950-08-10,1.93,86.0,American,6890.0,7.1,,,4425.0,4.6
Jerry Bush,https://en.wikipedia.org/wiki/Jerry_Bush,1914-09-06,,,,,,,,,
Dave Bustion,https://en.wikipedia.org/wiki/Dave_Bustion,1949-08-30,2.03,98.0,American,,,,,,
Donnie Butcher,https://en.wikipedia.org/wiki/Donnie_Butcher,1936-02-06,1.88,91.0,American,1696.0,6.1,821.0,2.9,585.0,2.1
Al Butler,https://en.wikipedia.org/wiki/Al_Butler,1938-07-09,1.88,79.0,American,2282.0,9.8,696.0,3.0,530.0,2.3
Caron Butler,https://en.wikipedia.org/wiki/Caron_Butler,1980-03-13,2.01,103.0,American,,,,,,
Greg Butler,https://en.wikipedia.org/wiki/Greg_Butler,1966-03-11,2.11,109.0,American,,,,,,
Jackie Butler,https://en.wikipedia.org/wiki/Jackie_Butler,1985-03-10,2.08,118.0,American,,,,,,
Jimmy Butler,https://en.wikipedia.org/wiki/Jimmy_Butler_(basketball),1989-09-14,2.01,105.0,American,,,,,,
Mike Butler,https://en.wikipedia.org/wiki/Mike_Butler_(basketball),1946-10-22,1.88,77.0,American,,,,,,
Mitchell Butler,https://en.wikipedia.org/wiki/Mitchell_Butler,1970-12-15,1.96,95.0,American,,,,,,
Rasual Butler,https://en.wikipedia.org/wiki/Rasual_Butler,1979-05-23,2.01,98.0,American,,,,,,
Dwight Buycks,https://en.wikipedia.org/wiki/Dwight_Buycks,1989-03-06,1.91,86.0,American,,,,,,
Derrick Byars,https://en.wikipedia.org/wiki/Derrick_Byars,1984-04-25,2.01,100.0,American,,,,,,
Andrew Bynum,https://en.wikipedia.org/wiki/Andrew_Bynum,1987-10-27,2.13,129.0,American,,,,,,
Will Bynum,https://en.wikipedia.org/wiki/Will_Bynum,1983-01-04,1.83,84.0,American,,,,,,
Walt Byrd,https://en.wikipedia.org/wiki/Walt_Byrd,,,,,,,,,,
Marty Byrnes,https://en.wikipedia.org/wiki/Marty_Byrnes,1956-04-30,2.01,98.0,American,1495.0,5.7,586.0,2.2,409.0,1.6
Tommy Byrnes,https://en.wikipedia.org/wiki/Tommy_Byrnes,,,,,,,,,,
Mike Bytzura,https://en.wikipedia.org/wiki/Mike_Bytzura,1922-06-18,1.85,77.0,American,,,,,,
Mike Macaluso,https://en.wikipedia.org/wiki/Mike_Macaluso,1951-07-21,1.96,95.0,American,,,,,,
Ed Macauley,https://en.wikipedia.org/wiki/Ed_Macauley,1928-03-22,2.03,84.0,American,11234.0,17.5,4324.0,7.5,2079.0,3.2
Todd MacCulloch,https://en.wikipedia.org/wiki/Todd_MacCulloch,1976-01-27,2.13,127.0,Canadian,4599.0,10.6,1647.0,4.2,,
Ronnie MacGilvray,https://en.wikipedia.org/wiki/Ronnie_MacGilvray,1930-07-20,1.88,84.0,American,8.0,1.3,9.0,1.5,11.0,1.8
Scott Machado,https://en.wikipedia.org/wiki/Scott_Machado,1990-06-08,1.85,82.0,"Brazilian,American",,,,,,
